# Vertex List
# V,vertexid,longitude,latitude,x*,y*
V,1244,-77.0228937252,38.9585094756,,
V,1248,-77.0229201684,38.9588986009,,
V,1249,-77.0020404585,38.8951739982,,
V,1252,-77.001579018,38.8951978325,,
V,1253,-77.0454907525,38.9056649905,,
V,1264,-77.0454855672,38.9065744278,,
V,1265,-77.0155110539,38.9159243146,,
V,1282,-77.0157603912,38.9161145372,,
V,1283,-77.0740292944,38.9640062679,,
V,1287,-77.0750509763,38.9640063552,,
V,1288,-77.0918183731,38.9302672786,,
V,1321,-77.0919119281,38.931324128,,
V,1322,-76.9597244779,38.8920061561,,
V,1327,-76.9579593413,38.8920075329,,
V,1328,-76.9948496514,38.957795003,,
V,1335,-76.9962262736,38.9576435715,,
V,1336,-76.9832193776,38.8954698581,,
V,1338,-76.9832216681,38.8957573149,,
V,1339,-76.9749660019,38.8685659401,,
V,1347,-76.9773557124,38.8686286422,,
V,1348,-77.0029569977,38.9405635039,,
V,1350,-77.0029853118,38.9407506364,,
V,1351,-77.0259414923,38.9268615487,,
V,1353,-77.0259791044,38.9270992608,,
V,1354,-77.0406968589,38.9215477707,,
V,1356,-77.0401312423,38.9215671039,,
V,1357,-77.0371541154,38.9450723226,,
V,1359,-77.037153312,38.9456059118,,
V,1360,-76.9778518267,38.8841072836,,
V,1364,-76.9772649849,38.8841096578,,
V,1365,-77.0107412311,38.8309262589,,
V,1419,-77.0101521698,38.8295555834,,
V,1420,-76.9945122018,38.9046004631,,
V,1423,-76.9937601984,38.9042815331,,
V,1424,-76.912298449,38.8924406634,,
V,1442,-76.9136700701,38.8924592087,,
V,1443,-77.0326372067,38.9126160097,,
V,1446,-77.0326748934,38.9131573384,,
V,1447,-77.0523284492,38.8916865849,,
V,1453,-77.0525800237,38.8923974787,,
V,1454,-77.0525747245,38.8925396614,,
V,1455,-77.0700701916,38.9586710613,,
V,1459,-77.0706980152,38.958671297,,
V,1460,-77.0135702711,38.9544973834,,
V,1465,-77.0136212389,38.9555695415,,
V,1466,-77.0296236665,38.9170067327,,
V,1471,-77.0296227459,38.918121514,,
V,1472,-77.0462699386,38.9166033609,,
V,1480,-77.0463473779,38.915996816,,
V,1481,-77.0399248184,38.9328547407,,
V,1485,-77.0399411438,38.9341820751,,
V,1486,-76.9205211936,38.8971508522,,
V,1494,-76.9191510035,38.8971535153,,
V,1495,-76.9467902752,38.864282712,,
V,1504,-76.9462861885,38.866170589,,
V,1505,-77.0271200286,38.9714805378,,
V,1511,-77.0270267754,38.9723616551,,
V,1512,-77.0327269802,38.9461322883,,
V,1514,-77.0327277784,38.9464763927,,
V,1527,-77.0951308601,38.9170187441,,
V,1528,-77.0081185171,38.9610971621,,
V,1553,-76.9800574653,38.9037219304,,
V,1558,-76.9789928969,38.903721924,,
V,1559,-76.9836502888,38.8886777055,,
V,1563,-76.9829241696,38.8886804945,,
V,1564,-76.9871325781,38.8989217148,,
V,1565,-76.9863952478,38.8989268404,,
V,1566,-77.0090605801,38.8792933769,,
V,1567,-77.0090655328,38.8784195888,,
V,1568,-77.0541659054,38.9280960992,,
V,1573,-77.0553412849,38.9283451689,,
V,1574,-76.9689736943,38.8683894008,,
V,1575,-76.9689737212,38.8681849195,,
V,1576,-77.0597378476,38.911296765,,
V,1584,-77.0609115215,38.9113039062,,
V,1585,-76.9575642103,38.861542512,,
V,1590,-76.9575689348,38.8604952063,,
V,1591,-77.0506032141,38.9029176161,,
V,1600,-77.0514187814,38.9029852353,,
V,1601,-77.0131652291,38.9580533298,,
V,1607,-77.0131090405,38.9583638396,,
V,1608,-77.0691657267,38.9368130526,,
V,1615,-77.070885331,38.9368168086,,
V,1616,-76.9623511075,38.8516060856,,
V,1618,-76.9619672259,38.8519333992,,
V,1619,-76.9938430945,38.9426641657,,
V,1621,-76.9940436682,38.9435267315,,
V,1622,-77.0549110239,38.9150669476,,
V,1628,-77.0548080748,38.9151887605,,
V,1629,-77.0777633367,38.9615808437,,
V,1632,-77.0777628033,38.9620833895,,
V,1633,-77.0301320251,38.9873178803,,
V,1634,-77.0300123746,38.9874207279,,
V,1635,-76.9929126439,38.9233719315,,
V,1638,-76.9929098083,38.9228947718,,
V,1639,-77.0245115712,38.9413320993,,
V,1640,-77.0245117727,38.9416831462,,
V,1641,-76.9980699836,38.8957894243,,
V,1642,-76.9980698051,38.8954647756,,
V,1643,-77.059238924,38.9093229471,,
V,1647,-77.0599254489,38.9093145379,,
V,1648,-76.9795988336,38.8634145916,,
V,1669,-76.979533841,38.8640412407,,
V,1678,-76.9822156642,38.8957786195,,
V,1679,-77.0246184126,38.9329492406,,
V,1684,-77.0261822392,38.932805368,,
V,1685,-76.9709866627,38.8743902822,,
V,1688,-76.9715345118,38.8746545546,,
V,1689,-77.0249867302,38.9072461079,,
V,1691,-77.024989749,38.9064612491,,
V,1692,-76.9931994808,38.8820107868,,
V,1693,-76.9932034125,38.8823194651,,
V,1694,-77.0648096855,38.9386095014,,
V,1702,-77.0654280475,38.9386101478,,
V,1703,-76.967201334,38.8551286566,,
V,1715,-76.9666070388,38.8550595438,,
V,1716,-77.0175525634,38.9072424263,,
V,1724,-77.0189397284,38.9072449926,,
V,1725,-77.0827775745,38.9529231704,,
V,1732,-77.0204396697,38.8270833019,,
V,1739,-77.0212223441,38.8267571457,,
V,1740,-76.9875010461,38.9411558802,,
V,1744,-76.987199132,38.9414182591,,
V,1745,-77.0313792877,38.9486304459,,
V,1758,-77.0298382176,38.9485624946,,
V,1759,-77.0240472942,38.9376296904,,
V,1762,-77.0240705471,38.9381755276,,
V,1763,-76.9941011039,38.8325053096,,
V,1765,-76.9941028598,38.8330253964,,
V,1766,-76.9870480357,38.8611860722,,
V,1777,-76.9862455874,38.8605330597,,
V,1778,-76.9730059602,38.8728437929,,
V,1780,-76.972678894,38.8730438746,,
V,1781,-77.0853468013,38.9104974081,,
V,1785,-77.0860161451,38.910011106,,
V,1786,-77.0113725127,38.9627122512,,
V,1793,-77.012566456,38.962708239,,
V,1794,-77.0652168014,38.913704632,,
V,1813,-77.0651141706,38.9132894442,,
V,1814,-76.9984602123,38.8439508984,,
V,1820,-76.9995423244,38.8433655388,,
V,1821,-77.051416816,38.9024118064,,
V,1823,-77.051416755,38.9025309982,,
V,1825,-77.0514166924,38.9026511179,,
V,1826,-76.9984466727,38.8993279587,,
V,1829,-76.998943493,38.8998520662,,
V,1830,-77.025812972,38.9783133074,,
V,1831,-77.0259659892,38.9783127821,,
V,1832,-76.984518998,38.8875115501,,
V,1833,-76.9841912543,38.8873672651,,
V,1834,-77.0587884444,38.9214526482,,
V,1845,-77.0584976159,38.9219745817,,
V,1846,-77.0249489278,38.9494093815,,
V,1848,-77.0249300609,38.9490583791,,
V,1849,-77.0372018587,38.9111345968,,
V,1855,-77.0384887158,38.9111334149,,
V,1856,-76.9816315543,38.8881442503,,
V,1859,-76.9813772558,38.8881440692,,
V,1860,-77.0906159415,38.9447941945,,
V,1863,-77.0911524544,38.9447936631,,
V,1864,-77.0416881554,38.9072544267,,
V,1867,-77.041681216,38.9077375019,,
V,1868,-76.9377532935,38.8967816051,,
V,1875,-76.9361688472,38.8967946455,,
V,1876,-77.0143763048,38.9158940116,,
V,1881,-77.014422392,38.9162872197,,
V,1882,-76.9937092786,38.8559176164,,
V,1917,-76.9932510872,38.8579166723,,
V,1918,-76.981722782,38.8835428107,,
V,1922,-76.98222478,38.8835411996,,
V,1923,-76.9792876234,38.9289587335,,
V,1926,-76.9793390111,38.9295728172,,
V,1927,-77.0402268222,38.9231222907,,
V,1931,-77.0410033384,38.923098048,,
V,1932,-76.9937575287,38.903170983,,
V,1937,-76.9933784599,38.9031692022,,
V,1938,-76.9949638546,38.8926633357,,
V,1942,-76.9949664133,38.8935860531,,
V,1943,-77.0166460169,38.9613235079,,
V,1950,-77.0166453876,38.960173046,,
V,1951,-77.0129765248,38.9533456743,,
V,1954,-77.0135116727,38.9533308193,,
V,1955,-77.0765501497,38.9220905428,,
V,1959,-77.0770513122,38.9220648871,,
V,1960,-77.0269126376,38.8831219002,,
V,2030,-77.0264642487,38.8848563878,,
V,2031,-77.0161721687,38.9126111387,,
V,2035,-77.0161712288,38.912969414,,
V,2036,-76.9962927551,38.8300893943,,
V,2053,-76.9938728697,38.8300408803,,
V,2054,-77.0340803124,38.9813552363,,
V,2058,-77.0355161294,38.9813562476,,
V,2059,-76.9909067852,38.886749323,,
V,2060,-76.9909050223,38.8864506387,,
V,2061,-77.0807170009,38.9225580451,,
V,2074,-77.0805116767,38.9236314387,,
V,2075,-77.0651258352,38.9584855966,,
V,2090,-77.0660392679,38.9586256604,,
V,2091,-77.0319543128,38.8994004536,,
V,2096,-77.0319586502,38.9002122916,,
V,2097,-77.0482659178,38.9081672271,,
V,2100,-77.0482636738,38.908578132,,
V,2101,-76.9741748304,38.9223735357,,
V,2106,-76.9741769801,38.9234451663,,
V,2107,-76.9756139687,38.8642775517,,
V,2109,-76.975102399,38.8640317775,,
V,2110,-77.0091825011,38.9140920573,,
V,2112,-77.0096528184,38.914087504,,
V,2113,-76.9337632267,38.9014914131,,
V,2117,-76.9337606874,38.9019090167,,
V,2118,-77.0091020914,38.8920815888,,
V,2122,-77.0081737086,38.8920378768,,
V,2123,-77.0259930678,38.8875740766,,
V,2125,-77.0259762559,38.8848551551,,
V,2126,-77.0259786087,38.8842123151,,
V,2127,-77.0739352085,38.9275350008,,
V,2128,-77.0740400826,38.9275355346,,
V,2129,-77.028180024,38.9454648499,,
V,2130,-77.0281761148,38.9456087019,,
V,2131,-77.0364275865,38.9429428593,,
V,2132,-77.0364346117,38.9440069966,,
V,2133,-76.9988531932,38.8615759029,,
V,2137,-76.9996678151,38.8612648175,,
V,2138,-76.9374822726,38.8725840299,,
V,2146,-76.9371971949,38.8724185722,,
V,2147,-77.0537474223,38.8953950308,,
V,2150,-77.0537036339,38.8955253559,,
V,2155,-77.0534924752,38.8959367507,,
V,2169,-77.052792483,38.8973663502,,
V,2170,-77.0767266907,38.9678371969,,
V,2176,-77.0757843662,38.9685632456,,
V,2177,-76.9253024744,38.8993185375,,
V,2190,-76.9224477607,38.8986942894,,
V,2191,-76.9920959497,38.8981333179,,
V,2199,-76.9915306007,38.897655272,,
V,2200,-77.0755538105,38.9404893134,,
V,2219,-77.0758468014,38.9410216164,,
V,2220,-76.9862742371,38.9199877461,,
V,2222,-76.9866435468,38.9202230172,,
V,2223,-76.9721667704,38.913714576,,
V,2227,-76.9721673797,38.9140832485,,
V,2228,-76.9931476514,38.8468376437,,
V,2244,-76.9925259786,38.8464500624,,
V,2245,-77.0296221115,38.9140960498,,
V,2250,-77.030401862,38.9140977036,,
V,2251,-76.9885077825,38.8427827667,,
V,2252,-76.9885078866,38.8425157805,,
V,2253,-76.9961701296,38.8947954724,,
V,2255,-76.9961684961,38.8949474311,,
V,2256,-76.9855157864,38.8780590624,,
V,2260,-76.9855146378,38.8775220549,,
V,2261,-77.0012375394,38.9602681373,,
V,2267,-77.0010482056,38.9605303696,,
V,2268,-77.0278889546,38.8904809583,,
V,2307,-77.0275485351,38.8920914679,,
V,2308,-77.0144355824,38.9164037617,,
V,2309,-77.0144593265,38.916613158,,
V,2310,-77.078776087,38.9206897812,,
V,2313,-77.0793046935,38.9206895419,,
V,2314,-76.9961762793,38.8876024658,,
V,2317,-76.9956831881,38.8876022679,,
V,2318,-77.0090514936,38.9557065499,,
V,2321,-77.0084673209,38.9557068139,,
V,2346,-77.0523902886,38.890016921,,
V,2348,-77.052127091,38.8905115148,,
V,2349,-76.9984522821,38.8431170765,,
V,2355,-76.9984503506,38.8418857116,,
V,2356,-76.9710560793,38.9173969367,,
V,2450,-76.956780684,38.917358701,,
V,2451,-77.0862103557,38.9506754338,,
V,2458,-77.0886372678,38.9506885822,,
V,2459,-77.0425722968,38.9879726288,,
V,2482,-77.0430268709,38.9888326309,,
V,2483,-77.0255197873,38.9512739753,,
V,2485,-77.0255344413,38.9515612476,,
V,2486,-77.0574749829,38.958413719,,
V,2495,-77.057476758,38.9603322644,,
V,2496,-76.9796433385,38.904977713,,
V,2502,-76.9794642624,38.9056350464,,
V,2503,-76.9893978875,38.9128867119,,
V,2513,-76.9886751781,38.9135600174,,
V,2514,-77.0149020308,38.9613225114,,
V,2518,-77.0149025679,38.9623358443,,
V,2519,-77.090506258,38.9559572015,,
V,2521,-77.0907804196,38.9561506487,,
V,2522,-76.9834135109,38.921747262,,
V,2524,-76.9837819281,38.9214146673,,
V,2525,-76.9812627349,38.8990358749,,
V,2529,-76.9814588436,38.8984307464,,
V,2530,-77.0790456433,38.9163775797,,
V,2552,-77.0797188828,38.9154074649,,
V,2553,-76.947716552,38.8630051596,,
V,2560,-76.9467615152,38.8637497773,,
V,2561,-77.0208814545,38.9409377631,,
V,2566,-77.0215720375,38.9409165582,,
V,2575,-76.9575142247,38.8860154527,,
V,2576,-77.0365156871,38.9133542439,,
V,2583,-77.0351309499,38.9133559353,,
V,2584,-77.0027655032,38.9608748899,,
V,2596,-77.0045082531,38.9608758221,,
V,2597,-76.9800642314,38.9029016701,,
V,2608,-76.980625362,38.903341062,,
V,2609,-76.9965959449,38.9477824814,,
V,2614,-76.9383528367,38.8730498669,,
V,2622,-76.9377541007,38.8727364172,,
V,2623,-77.0725435948,38.9325534489,,
V,2645,-77.0724174491,38.9334917425,,
V,2646,-77.0862093523,38.9510488265,,
V,2649,-77.0862059519,38.9514226045,,
V,2650,-77.0761018678,38.9126427858,,
V,2653,-77.0777534261,38.9126819533,,
V,2654,-77.0296284218,38.9025301816,,
V,2655,-77.0296290286,38.902646619,,
V,2656,-76.9894281451,38.8627478737,,
V,2658,-76.9891976268,38.862498772,,
V,2659,-77.0855917652,38.9097814092,,
V,2661,-77.0860367231,38.9093404587,,
V,2662,-77.0185463658,38.9605744905,,
V,2664,-77.0185520303,38.9601730816,,
V,2665,-76.9861543488,38.9076854223,,
V,2668,-76.9860747012,38.90780041,,
V,2669,-77.0198896379,38.9564567679,,
V,2674,-77.0218251243,38.9563990659,,
V,2675,-76.9259572934,38.8810805904,,
V,2685,-76.9260789448,38.8801308224,,
V,2686,-77.0028392668,38.8339103995,,
V,2690,-77.0029779667,38.8334460757,,
V,2691,-77.0228582946,38.9649603756,,
V,2694,-77.0233314674,38.9649585756,,
V,2695,-77.0302635537,38.9546212422,,
V,2701,-77.032867318,38.9546216652,,
V,2702,-77.0416602327,38.9155816641,,
V,2705,-77.04165927,38.9159926686,,
V,2706,-77.0540268917,38.9031709811,,
V,2710,-77.0540396558,38.9037506657,,
V,2711,-77.0229351742,38.8984633816,,
V,2716,-77.0229505608,38.8998216594,,
V,2717,-76.9626970813,38.8620338165,,
V,2718,-76.9623170185,38.8620315825,,
V,2719,-77.0784383247,38.9126953582,,
V,2722,-77.0791818626,38.9126871749,,
V,2723,-77.0129281992,38.9433128951,,
